HammingWeight,CodeLength,CodeLengthWeight,OptLength
3,75,187200,16
4,37,92352,16
5,26,70304,16
6,22,59488,16
7,20,54080,16
8,19,51376,16
9,19,63840,16
10,19,63840,16
11,19,63840,16
12,20,67200,16
13,20,67200,16
14,21,70560,16
15,22,73920,16
