HammingWeight,CodeLength,CodeLengthWeight,OptLength
7,84,227136,32
8,64,173056,32
9,53,178080,32
10,47,157920,32
11,43,144480,32
12,40,134400,32
13,38,127680,32
14,37,124320,32
15,36,120960,32
16,36,120960,32
17,35,141120,32
18,35,141120,32
19,36,145152,32
20,36,145152,32
21,36,145152,32
22,37,149184,32
23,37,149184,32
24,38,153216,32
25,38,153216,32
26,39,157248,32
27,40,161280,32
